
 Lista de Imóveis da Caixa;;Data de geração:;24/03/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 1444423237449 ;RJ ;ARARUAMA ;PONTE DOS LEITES ;RUA CARDOSO MOREIRA, N. 205, CS03, B04 ;250.000,00;239.972,95;0.00;Não;Casa, 63.76 de área total, 63.76 de área privativa, 135.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444423237449
 8444431886327 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CASA01, 12 ;290.000,00;260.500,00;0.00;Não;Casa, 97.30 de área total, 97.30 de área privativa, 452.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431886327
 1444420675860 ;RJ ;ARARUAMA ;OUTEIRO ;RUA PAULO CORREA DE LACERDA, N. 145, CS 102 ;290.000,00;194.766,89;0.00;Não;Casa, 69.86 de área total, 69.86 de área privativa, 350.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444420675860
 1444416674430 ;RJ ;ARARUAMA ;ITATIQUARA ;ESTRADA DO MORRO GRANDE, N. SN, LT 293 QD 21 ;487.134,31;238.700,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 2459.70 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416674430
 8444432177311 ;RJ ;ARARUAMA ;NOVO HORIZONTE ;AVENIDA NOVO HORIZONTE, N. 690, LT 01 QD 45 ;506.615,81;246.000,00;0.00;Não;Casa, 75.00 de área total, 75.00 de área privativa, 355.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432177311
 10278714 ;RJ ;ARMACAO DOS BUZIOS ;BAIA FORMOSA ;ESTRADA DA RASA, N. S/N, LT 05-A ;2.430.148,31;3.813.108,09;36.27;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 8658.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10278714
 1444417626200 ;RJ ;ARMACAO DOS BUZIOS ;BAIA BLANCA ;RUA 20, N. SN, LT 27 QD 40 ;660.000,00;660.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 1000.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444417626200
 1444422238174 ;RJ ;ARRAIAL DO CABO ;FIGUEIRA ; ESTRADA DA FIGUEIRA, N. SN, UNIDADE 418 ;99.357,11;165.000,00;39.79;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422238174
 1444407719264 ;RJ ;BARRA DO PIRAI ;CENTRO ;AVENIDA RAMIRO JAIME DA FONSECA, N. 42, Apto 301, ;528.970,87;830.000,00;36.27;Sim;Apartamento, 327.42 de área total, 318.80 de área privativa, 0.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407719264
 8444430739053 ;RJ ;BARRA MANSA ;SIDERLANDIA ;RUA GABRIEL GONCALVES DE BRITO, N. 249, Apto 03, BL 04 ;86.400,29;162.000,00;46.67;Não;Apartamento, 65.90 de área total, 56.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430739053
 8555519238322 ;RJ ;BARRA MANSA ;LOTEAMENTO SAO VICENTE ;RUA SAO SEBASTIAO, N. 161, CASA 01 ;133.409,47;233.000,00;42.75;Não;Casa, 0.00 de área total, 84.64 de área privativa, 88.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519238322
 8787704191125 ;RJ ;BARRA MANSA ;COLONIA SANTO ANTONIO ;RUA H, N. 85, Apto 103, BL 14 ;116.047,39;192.000,00;39.56;Não;Apartamento, 53.00 de área total, 48.75 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787704191125
 10279386 ;RJ ;BARRA MANSA ;ANO BOM ;AVENIDA ELIAS JORGE GERAIDIME, N. 00, LT 20, SETOR 14 ;118.646,29;188.500,00;37.06;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 371.25 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10279386
 10278244 ;RJ ;BARRA MANSA ;BOA SORTE ;RUA ADEMAR PINESCHI, N. 125, QD 12, LT 06 ;519.411,15;815.000,00;36.27;Sim;Casa, 0.00 de área total, 122.53 de área privativa, 560.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10278244
 1444421170622 ;RJ ;BARRA MANSA ;CENTRO ;RUA ARI FONTENELLE, N. 134, Apto 101, ;267.595,49;284.000,00;5.78;Não;Apartamento, 65.56 de área total, 65.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444421170622
 8444401357466 ;RJ ;BELFORD ROXO ;PIAM ;RUA WALDEMAR DE OLIVEIRA MENDES, N. 35, LT 35 ;23.192,41;167.000,00;86.12;Não;Casa, 0.00 de área total, 115.59 de área privativa, 171.99 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401357466
 8444401591426 ;RJ ;BELFORD ROXO ;SITIO RETIRO FELIZ ;RUA PLACIDO FERREIRA, N. 75, LT 15 QD 3A ;49.458,54;324.000,00;84.74;Não;Casa, 0.00 de área total, 206.00 de área privativa, 360.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444401591426
 1555536544594 ;RJ ;BELFORD ROXO ;BOM PASTOR ;ESTRADA BELFORD ROXO, N. 907, Apto 4B12, BL 04, AREA 1 ;33.811,93;187.000,00;81.92;Não;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555536544594
 8555511577608 ;RJ ;BELFORD ROXO ;PIAM ;RUA WALDEMAR DE OLIVEIRA MENDES, N. 35, UNID 101 ;36.162,49;200.000,00;81.92;Não;Casa, 0.00 de área total, 86.22 de área privativa, 134.91 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555511577608
 8444409273741 ;RJ ;BELFORD ROXO ;PAULINE ;RUA IEDA, N. 300, CS 57 ;23.204,03;116.000,00;80.00;Não;Casa, 0.00 de área total, 43.86 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409273741
 8555536532780 ;RJ ;BELFORD ROXO ;BOM PASTOR ;ESTRADA BELFORD ROXO, N. 907, Apto 4C32, BL 04, AREA 1 ;36.961,18;147.000,00;74.86;Não;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536532780
