
 Lista de Imóveis da Caixa;;Data de geração:;03/03/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 8444431886327 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA DOUTOR JOSE MOTA VASCONCELOS, N. 255, CASA01, 12 ;290.000,00;260.500,00;0.00;Não;Casa, 97.30 de área total, 97.30 de área privativa, 452.14 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444431886327
 8444412430860 ;RJ ;ARARUAMA ;PONTINHA ;RUA APOLO, N. 105, CASA 03 ;257.119,31;170.000,00;0.00;Não;Casa, 55.72 de área total, 55.72 de área privativa, 457.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412430860
 8555519021293 ;RJ ;ARARUAMA ;BANANEIRAS (IGUABINHA) ;RUA PARAISO, N. 111, 0851 ;244.497,67;127.000,00;0.00;Não;Casa, 59.23 de área total, 59.23 de área privativa, 360.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519021293
 1444416674430 ;RJ ;ARARUAMA ;ITATIQUARA ;ESTRADA DO MORRO GRANDE, N. SN, LT 293 QD 21 ;487.134,31;238.700,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 2459.70 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444416674430
 8444432177311 ;RJ ;ARARUAMA ;NOVO HORIZONTE ;AVENIDA NOVO HORIZONTE, N. 690, LT 01 QD 45 ;506.615,81;246.000,00;0.00;Não;Casa, 75.00 de área total, 75.00 de área privativa, 355.60 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444432177311
 1444422822534 ;RJ ;AREAL ;AREAL ; RUA JOSE GONZAGA DA SILVA, N. SN, AREA 1B ;216.686,86;340.000,00;36.27;Sim;Terreno, 0.00 de área total, 0.00 de área privativa, 2751.20 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422822534
 1444422238174 ;RJ ;ARRAIAL DO CABO ;FIGUEIRA ; ESTRADA DA FIGUEIRA, N. SN, UNIDADE 418 ;101.904,73;165.000,00;38.24;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 360.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444422238174
 1444407719264 ;RJ ;BARRA DO PIRAI ;CENTRO ;AVENIDA RAMIRO JAIME DA FONSECA, N. 42, Apto 301, ;528.970,87;830.000,00;36.27;Sim;Apartamento, 327.42 de área total, 318.80 de área privativa, 0.00 de área do terreno,  4 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, Terraco.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407719264
 8444430739053 ;RJ ;BARRA MANSA ;SIDERLANDIA ;RUA GABRIEL GONCALVES DE BRITO, N. 249, Apto 03, BL 04 ;88.800,30;162.000,00;45.19;Não;Apartamento, 65.90 de área total, 56.13 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444430739053
 8555519238322 ;RJ ;BARRA MANSA ;LOTEAMENTO SAO VICENTE ;RUA SAO SEBASTIAO, N. 161, CASA 01 ;133.409,47;233.000,00;42.75;Não;Casa, 0.00 de área total, 84.64 de área privativa, 88.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555519238322
